[2023-07-21 19:18:55,190]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:18:55,197]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:18:55,197]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:18:55,199]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:18:55,199]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:18:55,303]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:18:55,303]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:18:59,237]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:18:59,237]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:18:59,245]^;INFO^;51^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 19:19:01,154]^;INFO^;53^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 19:19:01,154]^;INFO^;54^;__init__.py^;__init__()^;creating input csv started
