[2023-07-22 13:47:56,360]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-22 13:47:56,361]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-22 13:47:56,361]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-22 13:47:56,389]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-22 13:47:56,390]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-22 13:47:57,454]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-22 13:47:57,454]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-22 13:48:02,715]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-22 13:48:02,715]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-22 13:48:02,726]^;INFO^;76^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-22 13:48:07,065]^;INFO^;79^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-22 13:48:07,065]^;INFO^;80^;__init__.py^;__init__()^;creating input csv started
[2023-07-22 13:48:10,836]^;INFO^;82^;__init__.py^;__init__()^;creating input csv completed
[2023-07-22 13:48:10,836]^;INFO^;83^;__init__.py^;__init__()^;db insertion and input file creation completed
